text,label,tweet_num,found_terms,found_index_terms,GPT_found_index_terms,pubchem_found_index_terms,redmed_found_index_terms,DEA_found_index_terms,4o_mini_label,o4mini_label,qwen_4b_label,llama_label,4o_mini_label_short,o4mini_label_short,qwen_4b_label_short,llama_label_short,4o_mini_drug_labels,o4mini_drug_labels,qwen_4b_drug_labels,llama_drug_labels,4o_mini_rag,o4mini_rag,qwen_4b_rag,llama_rag,is_about_illicit_drugs,drugs_mentioned
"Top 🇺🇸 #SocialMedia Obsession:

❶ Sex

❷ Drugs

❸ Overdose

❹ Dead People

❺ Previously, Trump

❻ Now, Anything Stupid

❼ As Catastrophized by Media;

❽ Mass Shootings & Empty ""Gun Reform"" Talk

❾ GQP & Extreme Left's Toxic/Anti-Democratic Antics🔴",F,1538,[],[],[],[],[],[],False,False,True,True,F,F,T,F,,['other'],['other'],['other'],,['other'],['other'],['other'],F,
"I was not the one that worked it out. 
Tim found the Wiki claimed overdose amount.
Tim compared that to the court medical expert claimed amount in Floyd's blood.

I would hope, the wiki was right and the expert had taken into account Floyd's body mass.",T,1660,[],[],[],[],[],[],False,False,False,False,F,F,F,F,,,,['other'],,,,['other'],F,
Mike Tyson is Heading to Hippie Hill for 4/20,T,1780,[],[],[],[],[],[],False,True,True,True,F,T,F,F,,['Marijuana'],['Marijuana'],['other'],,['Marijuana'],['Marijuana'],['other'],T,['Marijuana']
"Why Chauvin continued to apply that level of force, even when Floyd was motionless? Why didn't he administer the required drug for the apparent drug overdose? Why didn't he inform the paramedic that the suspect had apparently overdosed . . . ?",T,1867,[],[],[],[],[],[],False,False,False,False,F,F,F,F,,,['other'],['other'],,,['other'],['other'],F,
It didn't make me as sick as the Morphine ER and actually got paired with because of how sick I was getting. THC would let me eat and not feel as sick to my stomach. It was low dose like 2.5 but also helped some with pain. I actually would skip a few doses of harder stuff.,T,1900,['morphine'],['morphine'],['morphine'],['morphine'],['morphine'],['morphine'],False,True,True,True,T,F,T,F,"['other', 'Morphine', 'delta‑9‑THC‑COOH']","['other', 'Morphine']","['Morphine', 'Marijuana']","['Morphine', 'THC']","['other', 'Morphine', 'delta‑9‑THC‑COOH']","['other', 'Morphine']","['Morphine', 'Marijuana']","['Morphine', 'THC']",T,"['Marijuana', 'Morphine']"
"oooh i'm still learning their names, but i think go eun, ireh, and swan are potential biases!! and dosie rly stood out to me in the overdose cover (WHICH WAS SO GOOD)! who's yours?? :)",T,1961,[],[],[],[],[],[],False,False,True,False,F,F,F,F,,,['other'],['other'],,,['other'],['other'],F,
It's so easy to judge a drug overdose without hearing the whole truth...... someone close to x lacing his weed w/ crack is nuts to me 💔.,T,2086,['weed'],['delta-9-thc-cooh'],[],[],[],['delta-9-thc-cooh'],True,True,True,True,T,T,T,T,"['other', 'Marijuana']","['other', 'Marijuana']","['other', 'Marijuana']","['Cannabidiol', 'Cocaine']","['other', 'Marijuana']","['other', 'Marijuana']","['other', 'Marijuana']","['Cannabidiol', 'Cocaine']",T,"['Marijuana', 'other']"
"We are in the 305! Come down to our booth and meet the team.🌿 Upwise Capital is in Miami Beach, Florida Exhibiting at the Benzinga Cannabis Capital Conference from April 20th-21st at the Gorgeous Fontain Bleau Hotel Make your way to our booth #S9.",T,2122,[],[],[],[],[],[],False,False,False,False,F,F,F,F,,['Marijuana'],['Marijuana'],"['CBD', 'other']",,['Marijuana'],['Marijuana'],"['CBD', 'other']",T,['Marijuana']
Oh so maybe it explains why people before died: look  as wake 👀? But how about feeling nerved nerve system ?  Does it work in a way that causes pain relief or is it more inclined to feel pain more clearly?  because most cancer patients take morphine for pain relief??,F,2228,"['pain relief', 'morphine', 'pain relief']","['oxymorphone', 'morphine']","['oxymorphone', 'morphine']",['morphine'],['morphine'],['morphine'],False,False,False,False,F,F,F,F,,['Morphine'],['Morphine'],"['other', 'Morphine']",,['Morphine'],['Morphine'],"['other', 'Morphine']",F,['Morphine']
This is clear...let's not crack our heads.,F,2276,['clear'],['methamphetamine'],[],[],[],['methamphetamine'],False,False,False,False,F,F,T,F,['other'],['other'],['Cocaine'],['other'],['other'],['other'],['Cocaine'],['other'],F,
Im on ocean drive sipping codeine with the top down,T,2296,[' codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine'],True,True,True,True,T,T,T,T,['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],T,['Codeine']
"life you can't reject. capitalism injects a morphine called 'hope' as collateral for dreams.

› strange",T,2304,['morphine'],['morphine'],['morphine'],['morphine'],['morphine'],['morphine'],False,False,False,True,F,F,F,F,,['Morphine'],['Morphine'],"['other', 'Morphine']",,['Morphine'],['Morphine'],"['other', 'Morphine']",F,
going to do another itzy album review bc listening to them is like shooting up morphine,F,2329,['morphine'],['morphine'],['morphine'],['morphine'],['morphine'],['morphine'],True,True,True,True,F,F,F,T,"['other', 'Morphine']",['Morphine'],['Morphine'],"['other', 'Morphine']","['other', 'Morphine']",['Morphine'],['Morphine'],"['other', 'Morphine']",T,['Morphine']
"Cannabis is the real life saver in the United States, not capitalism that makes people want to suicide more severely.",T,2494,[],[],[],[],[],[],False,True,False,True,F,F,F,F,,['Marijuana'],['Marijuana'],['CBD'],,['Marijuana'],['Marijuana'],['CBD'],T,['Marijuana']
"The best argument I've heard against the drug overdose ""hypothesis"" (seems quite likely I admit) is that if someone is a heavy user of opiates they're going to be able to handle levels that would literally kill someone who's never used before.",T,2503,['opiates'],['oxycodone'],['oxycodone'],[],[],[],False,True,False,False,F,T,F,F,,['other'],['other'],"['other', 'Opiates']",,['other'],['other'],"['other', 'Opiates']",F,
"But please don't feel sorry for me please, I am strong and as long as I have pain meds I can make it through most of the day. I'm on enough morphine to kill a animal; but I do not want to complain about & don't you dare feel sorry for me please. 💋love, NormaJean I am a strong.",F,2673,"['pain meds', 'morphine', 'animal']","['oxymorphone', 'lsd', 'morphine']","['oxymorphone', 'morphine']",['morphine'],['morphine'],"['lsd', 'morphine']",True,True,True,True,T,T,T,T,"['other', 'Morphine']","['other', 'Morphine']",['Morphine'],"['other', 'Morphine']","['other', 'Morphine']","['other', 'Morphine']",['Morphine'],"['other', 'Morphine']",T,['Morphine']
"He's trying to avoid testifying because he's afraid that if he testifies that he sold drugs to Floyd, he'll be tried for third-degree murder. Which means his lawyers know that a fentanyl overdose is a likely cause of death here. Which is rotten news for the Chauvin prosecution.",T,2709,['fentanyl'],['fentanyl'],['fentanyl'],['fentanyl'],['fentanyl'],['fentanyl'],False,True,True,False,T,T,T,F,['Fentanyl'],"['other', 'Fentanyl']","['other', 'Fentanyl']",['Fentanyl'],['Fentanyl'],"['other', 'Fentanyl']","['other', 'Fentanyl']",['Fentanyl'],T,['Fentanyl']
I lost my dad to midazolam and morphine in Scotland May 2020 without seeing him and I'm still in the angry stage of grief. It's so hard 😢,T,2729,['morphine'],['morphine'],['morphine'],['morphine'],['morphine'],['morphine'],False,False,False,False,F,F,F,F,"['other', 'Morphine']","['other', 'Morphine']","['other', 'Morphine']","['Midazolam', 'Morphine']","['other', 'Morphine']","['other', 'Morphine']","['other', 'Morphine']","['Midazolam', 'Morphine']",F,"['other', 'Morphine']"
"CBD oil which is from the cannabis plant is fine as it does not contain THC. No intoxication and no problem driving. 
Anything containing THC is a no no as the OP says.",T,2806,"['cbd', 'plant']","['cbd', 'delta-9-thc-cooh']",['cbd'],['cbd'],['cbd'],"['cbd', 'delta-9-thc-cooh']",False,False,False,False,F,F,F,F,['other'],"['CBD', 'other', 'Marijuana']","['CBD', 'Marijuana']","['CBD', 'Cannabis']",,"['CBD', 'other', 'Marijuana']",,"['CBD', 'THC']",F,"['CBD', 'Marijuana']"
"$PVSP and Artizen cannabis wish you a happy 4/20! #OTC #Potstocks #Love #fuel #gas #skunk #slurricane #Dutchberry
$pifr $mj $acb $tsla $prdl $sfio",T,2817,['skunk'],['delta-9-thc-cooh'],[],[],[],['delta-9-thc-cooh'],True,True,True,False,T,T,T,T,"['other', 'Marijuana']",['Marijuana'],['Marijuana'],"['CBD', 'other']","['other', 'Marijuana']",['Marijuana'],['Marijuana'],"['CBD', 'other']",T,['Marijuana']
San Francisco to allow legal cannabis sales at annual 4/20 celebration for the first time in history,T,2968,[],[],[],[],[],[],False,False,False,False,F,F,F,F,,['Marijuana'],['Marijuana'],['CBD'],,['Marijuana'],['Marijuana'],['CBD'],T,['Marijuana']
steal the night K WORD the lights feel it under your skin time is right  uhhh Cuz its pulling you in pump it up you cant stop cuz it feels like an overdose FEELS LIKE AN OVERDOOOSE Bah BAh evacuate the dance floor bah bah im infected by the sound,T,3002,[],[],[],[],[],[],True,False,True,True,T,F,T,T,['other'],['Ketamine'],NO_JSON_FOUND,['other'],['other'],['Ketamine'],NO_JSON_FOUND,['other'],F,
When you overdose on fentanyl or any other opiate or benzodiazepine it depresses your central nervous system until you lose consciousness then you stop breathing and eventually go into cardiac arrest... hypoxia is a symptom not the cause,T,3162,"['fentanyl', 'opiate']","['fentanyl', 'methadone']","['fentanyl', 'codeine']",['fentanyl'],['fentanyl'],['fentanyl'],False,False,False,False,F,F,F,F,"['other', 'Fentanyl']","['other', 'Fentanyl']","['other', 'Fentanyl']","['other', 'Fentanyl']","['other', 'Fentanyl']","['other', 'Fentanyl']","['other', 'Fentanyl']","['other', 'Opiate', 'Fentanyl']",F,"['other', 'Fentanyl']"
This is why Publix (who profits from pharmaceuticals) has been blocking efforts to legalize cannabis in Florida.,T,3280,[],[],[],[],[],[],False,False,False,False,F,F,F,F,,['Marijuana'],['Marijuana'],['other'],,['Marijuana'],['Marijuana'],['other'],F,['Marijuana']
"The BOTDF album is underrated. I actually like some of the remixes on there and Is it Scary, Ghosts & Morphine are 👌🏾",F,3292,['morphine'],['morphine'],['morphine'],['morphine'],['morphine'],['morphine'],False,False,False,False,F,F,F,F,['Morphine'],['Morphine'],['Morphine'],['Morphine'],['Morphine'],['Morphine'],['Morphine'],['Morphine'],F,['Morphine']
One of my great aunts was born in 1915 & would visit from CA every couple yrs. I'd play cards w/ her & my grandma on the floor in front of a TV w/Jeopardy on. They knew most of the answers & would crack jokes or talk abt random stuff from the old days during the Great Depression.,T,3309,[],[],[],[],[],[],False,False,False,False,F,F,F,F,,,,['other'],,,,['other'],F,
"A recent survey of oncologists-in-training found that they had received no ""formal training regarding #medicalcannabis"" &  ""considered themselves insufficiently informed to make cannabis-related medical recommendations."" 
 
 #oncologists #cancertreatment",T,3359,[],[],[],[],[],[],False,False,False,False,F,F,F,F,,['Marijuana'],['Marijuana'],['CBD'],,['Marijuana'],['Marijuana'],['CBD'],F,['Marijuana']
The first-ever cannabis farm  bookings open tomorrow! 4/20 at 10 AM Pacific. They'll go fast so mark your calendar!,T,3362,[' go fast'],['methamphetamine'],['methamphetamine'],[],[],[],True,True,False,True,F,T,F,T,,"['other', 'Marijuana']",['Marijuana'],['other'],,"['other', 'Marijuana']",['Marijuana'],['other'],T,['Marijuana']
Please tell your drug dealer I said hie,T,3400,[],[],[],[],[],[],True,True,True,True,T,T,T,T,['other'],,['other'],['other'],['other'],,['other'],['other'],T,
"Ain't gone lie... I saw DMX overdose and was fighting for his life. 

My reaction was like ""Again mane 🙄""

Then I saw the interview recently telling the story about his 30yr old mentor tricked him into smoking weed laced with crack when he was 14 and the effect😩💔🤦🏾‍♂️",T,3443,['weed'],['delta-9-thc-cooh'],[],[],[],['delta-9-thc-cooh'],True,True,True,True,F,T,T,F,"['other', 'Marijuana']","['other', 'Marijuana']","['other', 'Marijuana']",['other'],"['other', 'Marijuana']","['other', 'Marijuana']","['other', 'Marijuana']",['other'],T,"['Marijuana', 'other']"
"Some of them drag to overdose..
Too much ""perfections""

They send you up..
And you can't come down..
You are doing crazy stuff at first but it is easy to lose control",T,3453,['crazy'],['fentanyl'],[],[],[],['fentanyl'],True,True,True,True,T,T,T,T,,,['other'],['other'],,,['other'],['other'],T,
"Tw// drugs? Medicine? Pain killers? Vomit/gaging. 
/
/
/
/
I'm gonna say it CHERRY liquid morphine tastes like vomit AND IM NOT WRONG cause every time my nurse used to make me take it after surgery I would actually almost throw up and gag and it was badddd.",T,3628,"['pain killers', 'liquid morphine']","['oxymorphone', 'morphine']","['oxymorphone', 'morphine']",['morphine'],['morphine'],"['morphine', 'oxycodone']",False,False,False,False,F,F,T,T,['Morphine'],"['other', 'Morphine']",['Morphine'],"['other', 'Morphine']",['Morphine'],"['other', 'Morphine']",['Morphine'],"['other', 'Morphine']",F,['Morphine']
Listen to  - Kobe Codeine Ft.  (Prod. by ) by Dirty Rose Music Group #np #SoundCloud,T,3685,[' codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine'],True,False,False,True,F,F,F,T,['Codeine'],['Codeine'],['Codeine'],"['other', 'Codeine']",['Codeine'],['Codeine'],['Codeine'],"['other', 'Codeine']",F,
"#CrimesAgainstHumanity 
USA ~ 
Healthcare✖️
Cannabis to Eat✖️
Wages✖️
Climate Action✖️
Regime Change Wars✔️
Fossil Subsidy✔️
#TaxCuts✔️
Every law passed is for Industrial Complex✔️ 
State Rights✔️
Marijuana Prohibition of #Food ✔️ 
Workers vs Oligarchy ✔️",T,3752,[],[],[],[],[],[],False,False,False,True,F,F,F,T,,['Marijuana'],['Marijuana'],['other'],,['Marijuana'],['Marijuana'],['other'],F,
Terrible satire. Dude really tweeted that on a tweet expressing condolences to a man who died of an overdose and heart attack,T,3759,[],[],[],[],[],[],False,False,False,True,F,F,F,F,,,,['other'],,,,['other'],F,
"This morning for 4/20, we're taking a look at the jumpstart of New York's cannabis industry.

Here in Rochester, some events are also being held to celebrate the holiday.

Tune in",T,4091,[],[],[],[],[],[],False,False,False,False,F,F,F,F,,['Marijuana'],['Marijuana'],['CBD'],,['Marijuana'],['Marijuana'],['CBD'],F,['Marijuana']
"I take ER morphine since 93' and IR morphine now, only
They won't even switch up to oxy for an extra trauma/oral/surgery  or loritab elixir for an occasional COPD/bronchitis/flu cough when needed.
No occasional Soma for a muscle injury or 2 Ativan if I have to fly or dentist",T,4115,"['morphine', 'morphine', ' oxy', 'loritab', 'ativan']","['lorazepam', 'hydrocodone', 'morphine', 'oxycodone']","['lorazepam', 'hydrocodone', 'morphine', 'oxycodone']","['lorazepam', 'morphine']","['lorazepam', 'hydrocodone', 'morphine']","['morphine', 'oxycodone']",True,False,False,False,T,F,F,F,"['Morphine', 'other', 'Lorazepam', 'Oxycodone', 'Cyclobenzaprine']","['Morphine', 'Hydrocodone', 'Lorazepam', 'Oxycodone', 'Cyclobenzaprine']","['Lorazepam', 'Oxycodone', 'Morphine', 'Zolpidem']","['Lorazepam', 'Oxycodone', 'Morphine', 'Methocarbamol']","['Morphine', 'other', 'Lorazepam', 'Oxycodone', 'Cyclobenzaprine']","['Morphine', 'Hydrocodone', 'Lorazepam', 'Oxycodone', 'Cyclobenzaprine']","['Lorazepam', 'Oxycodone', 'Morphine', 'Zolpidem']","['Lorazepam', 'Oxycodone', 'Morphine', 'Methocarbamol']",T,"['Morphine', 'Lorazepam', 'Hydrocodone', 'Oxycodone']"
"So, imagining yourself to be one of these otherwise reasonably intelligent people, what is the story you are telling yourself about why NOT to invest in the cannabis sector?",F,4139,[],[],[],[],[],[],False,False,False,False,F,F,F,F,,['Marijuana'],"['Marijuana (Cannabis, Weed, Pot)']",['Cannabis'],,['Marijuana'],"['Marijuana (Cannabis, Weed, Pot)']",['Cannabis'],F,['Marijuana']
To the women I am mutuals with I want you to know that you are echelons above these men. Don't ever forget that. They are truly beneath you. Know that and know peace lol💞,F,4492,['peace'],['phencyclidine'],[],['phencyclidine'],[],['mdma'],False,False,False,False,F,F,F,F,,,,['other'],,,,['other'],F,
Right here👇would add Soul Food… 😂the crack comment tho🤣🤣,F,4539,[],[],[],[],[],[],True,False,True,True,T,T,T,T,['other'],['other'],['other'],['other'],['other'],['other'],['other'],['other'],T,['other']
He can't open them. He's got a serious drug problem. We'll be hearing about his death from overdose at some point.,T,4563,[],[],[],[],[],[],True,True,False,True,T,T,T,F,['other'],,['other'],"['other', 'Fentanyl']",['other'],,['other'],"['other', 'Fentanyl']",F,
"Excited delirium is normally caused by stimulants like methamphetamine. The officers didn't know he had taken meth and fentanyl. When taken together, methamphetamine masks the symptom of fentanyl overdose. If they treated him for excited delirium, as per protocol, he'd die.",T,4575,"['stimulants', 'methamphetamine', ' meth', 'fentanyl', 'methamphetamine ', 'fentanyl']","['methamphetamine', 'fentanyl', 'amphetamine']","['methamphetamine', 'fentanyl', 'amphetamine']","['methamphetamine', 'fentanyl']","['methamphetamine', 'fentanyl']","['methamphetamine', 'fentanyl']",False,False,False,True,F,F,T,F,"['Methamphetamine', 'Fentanyl']","['Methamphetamine', 'Fentanyl']","['Methamphetamine', 'Fentanyl']","['Methamphetamine', 'Fentanyl']","['Methamphetamine', 'Fentanyl']","['Methamphetamine', 'Fentanyl']","['Methamphetamine', 'Fentanyl']","['Methamphetamine', 'Fentanyl']",T,"['Fentanyl', 'Methamphetamine']"
Mix that sprite up with that lean i love my Codeine🍇🍼,F,4698,"['lean', ' codeine']",['codeine'],['codeine'],['codeine'],['codeine'],['codeine'],True,True,True,True,T,T,T,T,['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],T,['Codeine']
"Codeine Boy Da BeatDealer - 5249 [Demo]
by TRAP BEATS Codeine... Free Download:",F,4724,"['codeine', ' codeine']",['codeine'],['codeine'],['codeine'],['codeine'],['codeine'],True,False,True,True,T,F,T,T,['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],F,['Codeine']
My new sounds: Codeine Boy Da BeatDealer  - 5228 [Demo],F,4768,['codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine'],True,False,True,True,T,F,T,T,,['Codeine'],['Codeine'],['Codeine'],,['Codeine'],['Codeine'],['Codeine'],F,['Codeine']
Im on ocean drive sippin codeine with the top down 20 grand on me lot of jewelry and a glock 9,T,4779,[' codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine'],True,True,True,True,T,T,T,T,['Codeine'],['Codeine'],['Codeine'],"['other', 'Codeine']",['Codeine'],['Codeine'],['Codeine'],"['other', 'Codeine']",T,['Codeine']
"Again..... the doctor admitted that fentanyl, the drug he had in his system can suppress breathing. He also admitted that he didn't know he had foam coming out of his mouth at the scene and complained of respiratory distress before being restrained...both signs of a drug overdose",T,4824,"['doctor', 'fentanyl']","['fentanyl', 'mdma']",['fentanyl'],['fentanyl'],['fentanyl'],"['fentanyl', 'mdma']",False,False,False,False,F,T,T,F,"['other', 'Fentanyl']",['Fentanyl'],['Fentanyl'],['Fentanyl'],"['other', 'Fentanyl']",['Fentanyl'],['Fentanyl'],['Fentanyl'],F,['Fentanyl']
Sask. man fighting to get another patient's drug overdose removed from his health record,F,4827,[],[],[],[],[],[],False,False,False,False,F,F,F,F,,,['other'],,,,['other'],,F,
"yup, they either don't pay enough, don't offer enough hours, don't provide health care, or like you said, they don't respond back 😤. like damn, is crack selling season? cause I might need to start serving 😂",F,4963,[],[],[],[],[],[],True,True,True,True,T,T,T,T,['other'],['other'],['other'],['other'],['other'],['other'],['other'],['other'],T,['other']
"I doubt the jury believes George overdosed , he   Then chose to wait the whole day to overdose only  until he was face down on the ground hand cuffed with a knee on his neck for almost ten minutes.",T,5028,[],[],[],[],[],[],False,True,False,True,F,T,T,F,,,,['Fentanyl'],,,,['Fentanyl'],F,
"Some of my ⁦⁩ colleagues prioritize gouging taxpayers for welfare state expansion: #Obamacare#MedicaidExpansion in budget, Gannon bill to expand Medicaid, free heroin needles, and now food stamps to eat at restaurants on the taxpayer dime",T,5050,[],[],[],[],[],[],False,False,True,False,F,F,T,F,['other'],['other'],['other'],['other'],['other'],['other'],['other'],['other'],F,['other']
