text,label,tweet_num,found_terms,found_index_terms,GPT_found_terms,GPT_found_index_terms,pubchem_found_terms,pubchem_found_index_terms,redmed_found_terms,redmed_found_index_terms,DEA_found_terms,DEA_found_index_terms,count_found_terms
"That hospital in Bismarck North Dakota admitted Mary Trujillo for no real reason & they gave her morphine & Ativan all the time for no real reason & she got at least one bedsore, wasn't fed for 4 days, lost the ability to walk, got edema & she's diabetic...",T,1016,"['morphine', 'ativan']","['lorazepam', 'morphine']","['morphine', 'ativan']","['lorazepam', 'morphine']","['morphine', 'ativan']","['lorazepam', 'morphine']","['morphine', 'ativan']","['lorazepam', 'morphine']",['morphine'],['morphine'],2
the governor said that the New York farmers are the backbone New York State I beg to differ New York State penitentiary was the backbones of New York State filled with minorities that were locked up with your Draconian drug laws,F,1162,['beg'],['benzoylecgonine'],[],[],['beg'],['benzoylecgonine'],[],[],[],[],1
Ya GABA analogue withdrawals can get pretty crazy too,T,1428,"['gaba analogue', 'crazy']","['pregabalin', 'fentanyl']",['gaba analogue'],['pregabalin'],[],[],[],[],['crazy'],['fentanyl'],2
"they took me off my pills cold turkey with no warning or ability to titrate down (i have a chronic spinal issue that i literally cannot get fixed or escape from) and told me to ""visualize being injected in the pain site by morphine"" to ease the agony of walking and sitting up.",T,1497,"['pills', 'cold', 'titrate down', 'chronic', 'morphine']","['delta-9-thc-cooh', 'naltrexone', 'methamphetamine', 'hydrocodone', 'morphine']",['morphine'],['morphine'],['morphine'],['morphine'],['morphine'],['morphine'],"['cold', 'chronic', 'morphine']","['methamphetamine', 'morphine', 'delta-9-thc-cooh']",5
"Antibiotics, Tylenol #3 with codeine, hydro codeine, and muscle relaxer. All of that can't knock me out...I just wanna sleep in peace.",T,1533,"['tylenol', ' codeine', 'hydro', ' codeine', 'muscle relaxer', 'peace']","['cyclobenzaprine', 'hydromorphone', 'phencyclidine', 'codeine', 'oxycodone']","['tylenol', ' codeine', 'hydro', ' codeine']","['codeine', 'hydromorphone', 'oxycodone']","['codeine', 'codeine', 'peace']","['phencyclidine', 'codeine']","['codeine', 'codeine']",['codeine'],"['codeine', 'hydro', 'codeine', 'peace']","['codeine', 'delta-9-thc-cooh', 'mdma']",6
"Virginia hospice... typical is 5 days before death
Often no liquid given
Now hospices are corrupt, connected to hmo's
Morphine and ativan, most common painkiller and drug.
There's never any criminal investigation
Ins cos. try to force 'do not resuscitate' on people.",T,1536,"['morphine', 'ativan', 'painkiller']","['lorazepam', 'morphine', 'oxycodone']","['morphine', 'ativan', 'painkiller']","['lorazepam', 'morphine', 'oxycodone']","['morphine', 'ativan']","['lorazepam', 'morphine']","['morphine', 'ativan']","['lorazepam', 'morphine']",['morphine'],['morphine'],3
"Pregabalin- Lyrica 
Solpadol
Oramorph- Liquid Morphine 
And a cup of coffee/ Milk",T,1563,"['pregabalin', 'lyrica', 'solpadol', 'oramorph', 'liquid morphine']","['pregabalin', 'codeine', 'morphine']","['pregabalin', 'lyrica', 'solpadol', 'oramorph', 'liquid morphine']","['pregabalin', 'codeine', 'morphine']","['pregabalin', 'lyrica', 'morphine']","['pregabalin', 'morphine']","['pregabalin', 'lyrica', 'oramorph', 'morphine']","['pregabalin', 'morphine']","['pregabalin', 'morphine']","['pregabalin', 'morphine']",5
"4/20 is Tomorrow Buds! 🤯😝🔥💨🌱

Join us for a virtual summit hosted by  featuring Cannabis Industry professionals and celebrating the bridge for Cannabis into web3 📈🚀🌱

💥CC giveaway at 2pm EDT💥
🔗  #NFTGiveaways #NFTCommunity",F,1645,['2pm'],['diphenhydramine'],[],[],['2pm'],['diphenhydramine'],[],[],[],[],1
Take away Heroin - take away Fentanyl - Nothing changes but the substance used used to get high. I used Actiq / Fentanyl sucker for 5 years then took 1 year to wean off. Too short acting ! Fentanyl is used everyday for Surgery & no one knows they got it / never got addicted,T,1688,"['fentanyl', 'substance', 'actiq', 'fentanyl', 'short acting', 'fentanyl']","['lorazepam', 'fentanyl', 'methamphetamine']","['fentanyl', 'actiq', 'fentanyl', 'fentanyl']",['fentanyl'],"['fentanyl', 'fentanyl', 'fentanyl']",['fentanyl'],"['fentanyl', 'actiq', 'fentanyl', 'fentanyl']",['fentanyl'],"['fentanyl', 'fentanyl', 'fentanyl']",['fentanyl'],6
"It's that willingness to believe some stories but not others. To make excuses for some but strictly adhere to the rules (& prob make up new ones) for others.  I'm no toxicologist, but could've been a heroin metabolite. And then there's the cocaine.",T,2157,['metabolite'],['benzoylecgonine'],[],[],[],[],[],[],[],[],1
"yeah, that way looks like codeine for me - it's the only OTC drug which takes the edge off",T,2279,"[' codeine', 'otc drug']","['diphenhydramine', 'codeine']",[' codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine'],2
"(Passion-flower)
An efficient anti-spasmodic. Whooping-cough. Morphine habit. Delirium tremens. Convulsions in children; neuralgia. Has a quieting effect on the nervous system. Insomnia, produces normal sleep, cerebral functions, neuroses of children,",T,2816,"['flower', 'morphine', 'neuralgia']","['pregabalin', 'morphine', 'delta-9-thc-cooh']","['morphine', 'neuralgia']","['pregabalin', 'morphine']",['morphine'],['morphine'],['morphine'],['morphine'],"['flower', 'morphine']","['morphine', 'delta-9-thc-cooh']",3
"and codeine, muscle relaxers and melatonin. Hoping they'll all hit me at once now 😂",T,2841,"[' codeine', 'muscle relaxers']","['codeine', 'cyclobenzaprine']",[' codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine'],2
"Dr. Isenschmid also said he wouldn't expect to see that level of norfentanyl in an overdose death because the body doesn't have time to metabolize the drug. That's a pretty important point to leave out, don't you think?",T,3137,['norfentanyl'],['norfentanyl'],['norfentanyl'],['norfentanyl'],['norfentanyl'],['norfentanyl'],['norfentanyl'],['norfentanyl'],['norfentanyl'],['norfentanyl'],1
So why exactly can we not cancel Heroin at the source. Psssst we know where it is coming from.,T,3157,['the source'],['zopiclone'],[],[],[],[],[],[],[],[],1
"IF they know HOW to treat it-the migraine cocktail-usually Benadryl IV, Reglan IV, & either morphine IV or if they're really nice-dilaudid IV- then U😴like the dead for 6-12 hrs & U wake up & ITS GONE! Hallelujah! NO MORE PAIN! I know-I use 2 get it Q few months! 🤷‍♀️Drs🚫know now?",T,3403,"['benadryl', 'morphine', 'dilaudid']","['diphenhydramine', 'morphine', 'hydromorphone']","['morphine', 'dilaudid']","['morphine', 'hydromorphone']","['benadryl', 'morphine', 'dilaudid']","['diphenhydramine', 'morphine', 'hydromorphone']","['morphine', 'dilaudid']","['morphine', 'hydromorphone']",['morphine'],['morphine'],3
"oyster forms a pearl. The pain and blood caused from cutting a kidney was blamed on the stent placed at the end of the operation. I was also given morphine, Demerol and fentanyl in the purported 16 minute surgery so much that I couldn't stay awake when they released me.",T,3512,"['morphine', 'demerol', 'fentanyl']","['fentanyl', 'meperidine', 'morphine']","['morphine', 'fentanyl']","['fentanyl', 'morphine']","['morphine', 'demerol', 'fentanyl']","['fentanyl', 'meperidine', 'morphine']","['morphine', 'fentanyl']","['fentanyl', 'morphine']","['morphine', 'fentanyl']","['fentanyl', 'morphine']",3
"TONIGHT!!! it's our 3rd annual #FourTwenty celebration and this year we're going straight to the source! Our guest is #CANNABIS #farmer MARTY JOHNSTON from #LuneRiseFarms

Tune in to  11pm EST

#fourtwentymusic #cannabisculture #CannabisNews #cannabisday #cannabis",T,3569,['the source'],['zopiclone'],[],[],[],[],[],[],[],[],1
Except practically no one has pethidine or morphine in private.,T,3588,"['pethidine', 'morphine']","['meperidine', 'morphine']",['morphine'],['morphine'],"['pethidine', 'morphine']","['meperidine', 'morphine']",['morphine'],['morphine'],['morphine'],['morphine'],2
"Physical dependence occurs, but addiction is extremely rare because methadone doesn't release dopamine. Don't let them guilt trip you.  was on methadone for years and it helped with nerve pain a lot. He still needed Duragesic, Actiq, & Opana. Also limited to one drink",T,3749,"['methadone', 'methadone', 'nerve pain', 'duragesic', 'actiq', 'opana']","['pregabalin', 'fentanyl', 'oxymorphone', 'methadone']","['methadone', 'methadone', 'nerve pain', 'duragesic', 'actiq', 'opana']","['pregabalin', 'fentanyl', 'oxymorphone', 'methadone']","['methadone', 'methadone', 'duragesic', 'opana']","['oxymorphone', 'fentanyl', 'methadone']","['methadone', 'methadone', 'duragesic', 'actiq', 'opana']","['oxymorphone', 'fentanyl', 'methadone']","['methadone', 'methadone']",['methadone'],6
"You are either trolling me, or your cognitive abilities are severely lacking.

You claim that Floyd died from a drug overdose - the medical examiners beg to differ.",T,3921,['beg'],['benzoylecgonine'],[],[],['beg'],['benzoylecgonine'],[],[],[],[],1
"Apparently, he was also a chronic user. So, tolerance comes into play. Also, according to expert testimony, he wasn't exhibiting overdose symptoms and his blood had the fentanyl metabolite, which means his body was able to process it...unlike in an OD.",F,3940,"['chronic', 'tolerance', 'fentanyl', 'metabolite']","['benzoylecgonine', 'fentanyl', 'morphine', 'delta-9-thc-cooh']","['tolerance', 'fentanyl']","['fentanyl', 'morphine']",['fentanyl'],['fentanyl'],['fentanyl'],['fentanyl'],"['chronic', 'fentanyl']","['fentanyl', 'delta-9-thc-cooh']",4
"For people dying with cancer and other diseases, morphine and other opioid based drugs are absolutely necessary. If the doctors refused to give my father morphine in the latter part of his fight against prostate cancer, they would have to treat themselves for injuries.",F,3980,"['morphine', 'opioid based drugs', 'morphine']","['zopiclone', 'morphine']","['morphine', 'opioid', 'morphine']","['hydrocodone', 'morphine']","['morphine', 'morphine']",['morphine'],"['morphine', 'morphine']",['morphine'],"['morphine', 'morphine']",['morphine'],3
"I take ER morphine since 93' and IR morphine now, only
They won't even switch up to oxy for an extra trauma/oral/surgery  or loritab elixir for an occasional COPD/bronchitis/flu cough when needed.
No occasional Soma for a muscle injury or 2 Ativan if I have to fly or dentist",T,4115,"['morphine', 'morphine', ' oxy', 'loritab', 'ativan']","['lorazepam', 'hydrocodone', 'morphine', 'oxycodone']","['morphine', 'morphine', ' oxy', 'loritab', 'ativan']","['lorazepam', 'hydrocodone', 'morphine', 'oxycodone']","['morphine', 'morphine', 'ativan']","['lorazepam', 'morphine']","['morphine', 'morphine', 'loritab', 'ativan']","['lorazepam', 'hydrocodone', 'morphine']","['morphine', 'morphine', 'oxy']","['morphine', 'oxycodone']",5
"Same here and Thank God it works for CFS/ME and fibromyalgia pain too.
I had severe back pain in the 90's and the only thing I had was morphine and is ""sorta"" worked but cannabis is a freaking godsend and I wish I had it back then😀👍",T,4311,"['fibromyalgia', 'morphine']","['pregabalin', 'morphine']","['fibromyalgia', 'morphine']","['pregabalin', 'morphine']",['morphine'],['morphine'],['morphine'],['morphine'],['morphine'],['morphine'],2
"Step the fuckin Morphine and Learning Alive. 

Drop appointment I beg you. 🙏🏻",T,4353,"['morphine', 'beg']","['benzoylecgonine', 'morphine']",['morphine'],['morphine'],"['morphine', 'beg']","['benzoylecgonine', 'morphine']",['morphine'],['morphine'],['morphine'],['morphine'],2
Marijuana is a herbal drug. It has be used medically all over the world for pain management specially in case of arthritis. Because of its abuse for recreation it's banned. Similarly poppy is the source of codeine/morphine which is available as a narcotic drug in India.,T,4495,"['pain management', 'the source', ' codeine', 'morphine', 'narcotic']","['zopiclone', 'codeine', 'fentanyl', 'morphine', 'oxycodone']","['pain management', ' codeine', 'morphine']","['fentanyl', 'codeine', 'morphine']","['codeine', 'morphine']","['codeine', 'morphine']","['codeine', 'morphine']","['codeine', 'morphine']","['codeine', 'morphine']","['codeine', 'morphine']",5
You wanna buy a pharmacy and put Heroin back as an OTC drug too... Asking for a friend,F,4558,"['pharmacy', 'otc drug']","['diphenhydramine', 'fentanyl']",[],[],[],[],[],[],['pharmacy'],['fentanyl'],2
"I certainly find this to be true in a lot of poetry Jody, certainly in Hemingway's stories.

But since we thought something, it is no longer a lie and we can print it. Publish it if we must.

Nikki Sixx wrote the heroin diaries, & as a junkie, I know some of the emotion was true.",T,4601,['emotion'],['lorazepam'],[],[],['emotion'],['lorazepam'],[],[],[],[],1
"It's a bottle of liquid morphine, prescribed by the oncologist, he said take 4 times a day if need be...I had to almost beg to get it back and kick up a fuss .one nurse said they they didn't want me getting addicted to it",T,4810,"['liquid morphine', 'beg']","['benzoylecgonine', 'morphine']",['liquid morphine'],['morphine'],"['morphine', 'beg']","['benzoylecgonine', 'morphine']",['morphine'],['morphine'],['morphine'],['morphine'],2
"There isn't one because no one has died from an overdose of cannabis. If you want evidence, try looking at the lethal doses of both.",T,5245,['lethal doses'],['carfentanil'],[],[],[],[],[],[],[],[],1
To all my friends with allergies you can overdose on NyQuil and Benadryl it might be tempting but that sneeze may be your last,T,5266,"['nyquil', 'benadryl']","['diphenhydramine', 'codeine']",[],[],['benadryl'],['diphenhydramine'],[],[],[],[],2
...I can't forget one night - she woke up at 3am screaming in pain and began crawling up the hospital bed to escape it. She was put on morphine then. Finally she had surgery to remove her tattered appendix and locate the source of her cont'd issues...,T,5381,"['morphine', 'the source']","['zopiclone', 'morphine']",['morphine'],['morphine'],['morphine'],['morphine'],['morphine'],['morphine'],['morphine'],['morphine'],2
"The acceptable blood volume for fentanyl in clinical use is 1-2 ng/ml.  The toxic levels for overdose is 7 ng/ml.  

George Floyd had 11 ng/ml of illicit fentanyl in his system.  5.6 ng/ml of norfentanyl and 19 ng/ml of methamphetamines in his system. 

It's just facts bro",T,5584,"['fentanyl', 'fentanyl', 'norfentanyl', 'methamphetamines']","['fentanyl', 'methamphetamine', 'norfentanyl']","['fentanyl', 'fentanyl', 'norfentanyl', 'methamphetamines']","['fentanyl', 'methamphetamine', 'norfentanyl']","['fentanyl', 'fentanyl', 'norfentanyl']","['fentanyl', 'norfentanyl']","['fentanyl', 'fentanyl', 'norfentanyl', 'methamphetamines']","['fentanyl', 'methamphetamine', 'norfentanyl']","['fentanyl', 'fentanyl', 'norfentanyl']","['fentanyl', 'norfentanyl']",4
It's not. Who put the drugs in your system? You or someone else? DMX died because he was an irresponsible drug user. Now if he died from prescription medicine overdose that's different. You've seen many die that way and the fault of their doctors but if he died from illegal-,T,5665,['prescription medicine'],['diphenhydramine'],[],[],[],[],[],[],[],[],1
I'm well aware he talk about it in the song morphine like said I said and Demerol is a substitute drug they give people who have an addiction to morphine but it's also incredibly addicting. I'm not talking shit about MJ I'm just saying he did have a drug addiction.,T,5986,"['morphine', 'demerol', 'substitute drug', 'morphine']","['fentanyl', 'meperidine', 'morphine']","['morphine', 'morphine']",['morphine'],"['morphine', 'demerol', 'morphine']","['meperidine', 'morphine']","['morphine', 'morphine']",['morphine'],"['morphine', 'morphine']",['morphine'],4
That would be what Carfentanil is. It's 100 times more toxic than fentanyl and 10000 more toxic than morphine. The result would be the same unless you had massive doses of naloxone available,T,6183,"['carfentanil', 'fentanyl', 'morphine']","['carfentanil', 'fentanyl', 'morphine']","['carfentanil', 'fentanyl', 'morphine']","['carfentanil', 'fentanyl', 'morphine']","['carfentanil', 'fentanyl', 'morphine']","['carfentanil', 'fentanyl', 'morphine']","['carfentanil', 'fentanyl', 'morphine']","['carfentanil', 'fentanyl', 'morphine']","['carfentanil', 'fentanyl', 'morphine']","['carfentanil', 'fentanyl', 'morphine']",3
"The coroner's report from Floyd's autopsy would beg to differ.

But I suppose it wouldn't be libertarianism without only reading a surface-level accusation of a drug overdose and not bothering to do the 5 minutes of research necessary to disprove that claim.",T,6197,['beg'],['benzoylecgonine'],[],[],['beg'],['benzoylecgonine'],[],[],[],[],1
"Oh fuck I don't use the despencery for weed my man hahaha I grow/buy from a supplier for 2 bucks a gram bulk hahaha 

These are for my narcotics, like morphine and Lyrica, shit I need to survive the day now. Weed doesn't take the pain away, even medical from the government lol",T,6303,"['weed', 'narcotics', 'morphine', 'lyrica', 'weed']","['pregabalin', 'morphine', 'delta-9-thc-cooh', 'oxycodone']","['narcotics', 'morphine', 'lyrica']","['pregabalin', 'morphine']","['morphine', 'lyrica']","['pregabalin', 'morphine']","['morphine', 'lyrica']","['pregabalin', 'morphine']","['weed', 'morphine', 'weed']","['morphine', 'delta-9-thc-cooh']",5
People can have lethal doses of drugs in the system and still not die from them. Floyd was physically a big man. Neither autopsy reports show that he died from an overdose or that drugs contributed to his death.,T,6395,['lethal doses'],['carfentanil'],[],[],[],[],[],[],[],[],1
"Haha yeah I'm similar. I have no ""true"" allergies that I'm aware of but I do get itchy from morphine. Rarely enough to ask for something for it tho. But they often co-use benadryl anyway. I get HELLA itchy with IV antibiotics, so I always have to beg for IV benadryl on top.",F,6491,"['morphine', 'benadryl', 'beg', 'benadryl']","['diphenhydramine', 'benzoylecgonine', 'morphine']",['morphine'],['morphine'],"['morphine', 'benadryl', 'beg', 'benadryl']","['diphenhydramine', 'benzoylecgonine', 'morphine']",['morphine'],['morphine'],['morphine'],['morphine'],4
"Katie song - red house painters 
Classic girl - janes addiction 
Brick - Ben folds five 
I know it's over - the smiths 
I believe - wolf parade 
Moment of silence - DIANA 
All your way - morphine",T,6701,"['girl', 'wolf', 'silence', 'morphine']","['fentanyl', 'lorazepam', 'morphine', 'phencyclidine']",['morphine'],['morphine'],"['silence', 'morphine']","['lorazepam', 'morphine']",['morphine'],['morphine'],"['girl', 'wolf', 'morphine']","['fentanyl', 'morphine', 'phencyclidine']",4
"Generally in an amount of that level you'd expect to see overdoses in first time users, or heroin addicts who didn't know their stash had been mixed.

As I just stated the ratio of norfentanyl does not suggest overdose. Nor does the video footage for that matter.",F,6713,"['overdoses', 'norfentanyl']","['fentanyl', 'norfentanyl']",['norfentanyl'],['norfentanyl'],['norfentanyl'],['norfentanyl'],['norfentanyl'],['norfentanyl'],['norfentanyl'],['norfentanyl'],2
"Will be honestly communicate and update them, When Dr Nyambura gave a Ryan a lethal cocktail of meds that included morphine, rolac and gabapentin..Experienced doctors like Dr Kinuthia and Dr Ismail had the moral obligation to communicate the situation to the parents and give",T,6715,"['morphine', 'gabapentin']","['morphine', 'gabapentin']","['morphine', 'gabapentin']","['morphine', 'gabapentin']","['morphine', 'gabapentin']","['morphine', 'gabapentin']","['morphine', 'gabapentin']","['morphine', 'gabapentin']","['morphine', 'gabapentin']","['morphine', 'gabapentin']",2
"Prepare for the burn. 

Floyd had 4-ANPP in his blood and died of an overdose.

4-ANPP is a synthetic fentanyl analog.",T,6752,"['4-anpp', '4-anpp', 'fentanyl analog']","['fentanyl', '4-anpp']","['4-anpp', '4-anpp', 'fentanyl analog']","['fentanyl', '4-anpp']","['4-anpp', '4-anpp', 'fentanyl']","['fentanyl', '4-anpp']","['4-anpp', '4-anpp', 'fentanyl']","['fentanyl', '4-anpp']","['4-anpp', '4-anpp', 'fentanyl']","['fentanyl', '4-anpp']",3
"Drug Science
Claire Bywalec - Project Twenty21 Patient
Claire developed fibromyalgia after a riding accident as a child. After trying countless other medications, she discovered cannabis, which has subsequently completely transformed her life.",T,6834,['fibromyalgia'],['pregabalin'],['fibromyalgia'],['pregabalin'],[],[],[],[],[],[],1
"I get it from the source
Keep it out the middle
I whip a Rolls Royce 
Keep some codeine in my system",T,6864,"['the source', 'rolls', ' codeine']","['codeine', 'zopiclone', 'mdma']",[' codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine'],"['rolls', 'codeine']","['codeine', 'mdma']",3
"There are shortages of fentanyl, morphine, hydromorphone, propofol, ketamine, epinephrine, lidocaine with epi, atropine, dexamethasone, lorazepam, hydrocortisone tablets, injectable methylprednisolone, midazolam, injectable morphine, injectable zofran, tacrolimus, misoprostol--",T,6930,"['fentanyl', 'morphine', 'hydromorphone', 'ketamine', 'lorazepam', 'morphine']","['hydromorphone', 'ketamine', 'fentanyl', 'lorazepam', 'morphine']","['fentanyl', 'morphine', 'hydromorphone', 'ketamine', 'lorazepam', 'morphine']","['hydromorphone', 'ketamine', 'fentanyl', 'lorazepam', 'morphine']","['fentanyl', 'morphine', 'hydromorphone', 'ketamine', 'lorazepam', 'morphine']","['hydromorphone', 'ketamine', 'fentanyl', 'lorazepam', 'morphine']","['fentanyl', 'morphine', 'hydromorphone', 'ketamine', 'lorazepam', 'morphine']","['hydromorphone', 'ketamine', 'fentanyl', 'lorazepam', 'morphine']","['fentanyl', 'morphine', 'hydromorphone', 'ketamine', 'lorazepam', 'morphine']","['hydromorphone', 'ketamine', 'fentanyl', 'lorazepam', 'morphine']",6
"A career criminal who was high on Fentanyl, Cannabis, Methamphetamine(Speed) & Morphine when he was arrested. Where is the pity & outrage for 5 yr old CANNON HINNANT an INNOCENT child who was shot in the head at point blank rage?Deafening silence from the Marxist controlled Media",T,7153,"['fentanyl', 'methamphetamine', 'speed', 'morphine', 'silence']","['lorazepam', 'fentanyl', 'methamphetamine', 'morphine']","['fentanyl', 'methamphetamine', 'morphine']","['fentanyl', 'methamphetamine', 'morphine']","['fentanyl', 'methamphetamine', 'speed', 'morphine', 'silence']","['lorazepam', 'fentanyl', 'methamphetamine', 'morphine']","['fentanyl', 'methamphetamine', 'morphine']","['fentanyl', 'methamphetamine', 'morphine']","['fentanyl', 'methamphetamine', 'speed', 'morphine']","['fentanyl', 'methamphetamine', 'morphine']",5
"Paracetamol does nothing for me, I need something with codeine. Try getting that in a hospital! They will pump you full of addictive hideously addictive drugs like morphine, Lyrica and Endone (oxycodone), but ask for something with codeine and the sky falls.",T,7465,"[' codeine', 'morphine', 'lyrica', 'endone', 'oxycodone', ' codeine']","['pregabalin', 'codeine', 'morphine', 'oxycodone']","[' codeine', 'morphine', 'lyrica', 'endone', 'oxycodone', ' codeine']","['pregabalin', 'codeine', 'morphine', 'oxycodone']","['codeine', 'morphine', 'lyrica', 'endone', 'oxycodone', 'codeine']","['pregabalin', 'codeine', 'morphine', 'oxycodone']","['codeine', 'morphine', 'lyrica', 'oxycodone', 'codeine']","['pregabalin', 'codeine', 'morphine', 'oxycodone']","['codeine', 'morphine', 'oxycodone', 'codeine']","['codeine', 'morphine', 'oxycodone']",6
"overdose is legitimently a medical emergency.

where is the source for this ""Convicted felon who held a gun to the stomach of a pregnant woman for drug money"" claim?

loss of life no matter how shitty is not in consequential",F,7500,['the source'],['zopiclone'],[],[],[],[],[],[],[],[],1
"He was given a shot of morphine for several broken ribs, and 2 time release capsules to take after that wore off (1 at a time). He was an addict though, so got home and took the 2 pills right away and OD'd.  When BCAS used Narcan, he aspirated vomit - hence the induced coma.",T,8177,"['morphine', 'capsules', 'pills']","['pregabalin', 'hydrocodone', 'morphine']","['morphine', 'capsules']","['pregabalin', 'morphine']",['morphine'],['morphine'],['morphine'],['morphine'],['morphine'],['morphine'],3
"On 24th February 2021 one of your talented staff gave a child a lethal dose of morphine,ketorolac,gabapentin ,lasix  and added fentanyl causing AKI and eventually death, Your management covered it up.",F,8213,"['morphine', 'gabapentin', 'fentanyl']","['fentanyl', 'morphine', 'gabapentin']","['morphine', 'gabapentin', 'fentanyl']","['fentanyl', 'morphine', 'gabapentin']","['morphine', 'gabapentin', 'fentanyl']","['fentanyl', 'morphine', 'gabapentin']","['morphine', 'gabapentin', 'fentanyl']","['fentanyl', 'morphine', 'gabapentin']","['morphine', 'gabapentin', 'fentanyl']","['fentanyl', 'morphine', 'gabapentin']",3
